node_pair_id,task,graph_file,node1,node2,set_id
pair_1,A,graphs/graph_ba_n40_e114.csv,16,18,1
pair_2,A,graphs/graph_ba_n40_e114.csv,14,16,1
pair_3,A,graphs/graph_ba_n40_e114.csv,7,36,1
pair_7,A,graphs/graph_ba_n40_e114.csv,14,22,2
pair_8,A,graphs/graph_ba_n40_e114.csv,17,30,2
pair_9,A,graphs/graph_ba_n40_e114.csv,12,38,2
pair_13,A,graphs/graph_ba_n40_e114.csv,17,22,3
pair_14,A,graphs/graph_ba_n40_e114.csv,16,30,3
pair_15,A,graphs/graph_ba_n40_e114.csv,17,30,3
pair_19,A,graphs/graph_ba_n40_e114.csv,22,36,4
pair_20,A,graphs/graph_ba_n40_e114.csv,30,38,4
pair_21,A,graphs/graph_ba_n40_e114.csv,7,16,4
pair_4,B,graphs/graph_ba_n40_e114.csv,1,14,1
pair_10,B,graphs/graph_ba_n40_e114.csv,1,16,1
pair_16,B,graphs/graph_ba_n40_e114.csv,1,17,1
pair_5,B,graphs/graph_ba_n40_e114.csv,2,11,2
pair_11,B,graphs/graph_ba_n40_e114.csv,2,12,2
pair_17,B,graphs/graph_ba_n40_e114.csv,3,14,2
pair_6,B,graphs/graph_ba_n40_e114.csv,3,8,3
pair_12,B,graphs/graph_ba_n40_e114.csv,4,8,3
pair_18,B,graphs/graph_ba_n40_e114.csv,4,11,3
pair_22,B,graphs/graph_ba_n40_e114.csv,2,7,4
pair_23,B,graphs/graph_ba_n40_e114.csv,3,16,4
pair_24,B,graphs/graph_ba_n40_e114.csv,4,18,4
